Custom chart monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=008&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.WND-US-99.M~ELEC.GEN.WND-IA-99.M~ELEC.GEN.WND-TX-99.M&columnchart=ELEC.GEN.WND-US-99.M~ELEC.GEN.WND-IA-99.M~ELEC.GEN.WND-TX-99.M&map=ELEC.GEN.WND-US-99.M&freq=M&start=200101&end=202207&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.PEL-US-99.M~ELEC.GEN.PC-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.OOG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M~ELEC.GEN.SUN-US-99.M~ELEC.GEN.GEO-US-99.M~ELEC.GEN.BIO-US-99.M~ELEC.GEN.WWW-US-99.M~ELEC.GEN.WAS-US-99.M~ELEC.GEN.HPS-US-99.M~ELEC.GEN.OTH-US-99.M~ELEC.GEN.TSN-US-99.M~ELEC.GEN.DPV-US-99.M
13:29:34 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Net generation : wind : United States : all sectors : monthly thousand megawatthours,Net generation : wind : Iowa : all sectors : monthly thousand megawatthours,Net generation : wind : Texas : all sectors : monthly thousand megawatthours
Jul 2022,29344.33422,2236.0504,9283.21655
Jun 2022,33689.19369,2935.84496,10258.31666
May 2022,41891.90684,3790.14024,12806.8601
Apr 2022,46217.24257,4652.04107,12423.42753
Mar 2022,43230.38297,4456.58549,11127.78098
Feb 2022,38162.28223,4116.45311,8811.93132
Jan 2022,38193.63252,4293.80783,8929.68827
Dec 2021,40675.58216,3907.75011,10300.55329
Nov 2021,36042.63457,3954.20503,8966.99727
Oct 2021,32440.0781,3059.65187,8929.15777
Sep 2021,28676.03176,2747.39521,7087.3974
Aug 2021,26782.80543,2203.51464,7613.89099
Jul 2021,21539.59726,1718.14058,5795.31624
Jun 2021,26610.56573,2333.35971,7361.81164
May 2021,33555.41335,3256.33331,9456.68921
Apr 2021,36178.95551,3656.04095,9495.45267
Mar 2021,39943.7085,3901.00122,10748.42083
Feb 2021,26869.78307,2779.88095,6348.84455
Jan 2021,30452.09176,3060.22712,7944.74946
Dec 2020,32010.64517,3052.7419,8620.79109
Nov 2020,33129.4051,3864.24604,7981.28208
Oct 2020,28822.66268,3393.46022,7838.42748
Sep 2020,23185.97755,2985.28228,5522.44675
Aug 2020,23029.3319,2286.36976,6688.84143
Jul 2020,22866.19821,1684.57199,7276.25003
Jun 2020,30212.40523,3076.91857,8858.99278
May 2020,28377.50536,2617.9072,8314.06806
Apr 2020,29752.22898,2963.96647,7950.31501
Mar 2020,29319.78293,2925.25788,7699.45349
Feb 2020,29110.49454,2922.74859,7713.78517
Jan 2020,28121.41138,2408.83111,7976.34405
Dec 2019,26643.83983,2728.4324,7289.96162
Nov 2019,25184.35888,2734.5255,6989.79485
Oct 2019,27624.5193,2685.9177,7455.26004
Sep 2019,24513.46786,2228.99844,6516.64147
Aug 2019,19978.03073,1173.20684,6488.55596
Jul 2019,22100.72207,1629.18412,6730.66637
Jun 2019,22445.97049,1645.35676,6289.76109
May 2019,25779.38696,2079.57892,7762.19026
Apr 2019,28915.30603,2856.77167,7838.53038
Mar 2019,25772.67842,2595.96207,6694.24327
Feb 2019,22622.75342,1744.09906,6639.39823
Jan 2019,24301.4495,2202.95654,6925.36705
Dec 2018,24306.28369,2193.78339,6556.40936
Nov 2018,22015.7339,1943.84694,6073.54707
Oct 2018,21193.89801,1716.20255,5599.33735
Sep 2018,18519.67063,1668.43472,4164.62387
Aug 2018,19846.43699,1216.62834,5968.27419
Jul 2018,16446.57439,1010.78044,4647.1136
Jun 2018,24702.85593,1696.04104,7688.99776
May 2018,23953.12766,1506.59553,7671.80055
Apr 2018,26430.85718,2099.49524,7476.86188
Mar 2018,26463.70391,2130.87461,7209.9128
Feb 2018,23189.48924,1694.22426,6041.10297
Jan 2018,25598.8222,2457.14951,6602.45229
Dec 2017,22200.68098,2094.91392,5329.61529
Nov 2017,22614.8668,2081.02142,5894.79945
Oct 2017,24368.70291,2231.06661,6002.9634
Sep 2017,17911.77474,1434.25375,4754.44227
Aug 2017,13878.84827,812.98577,3694.0053
Jul 2017,16119.99604,868.71104,4511.09548
Jun 2017,20141.74696,1553.8506,4839.07385
May 2017,23067.63856,1873.6993,6310.01793
Apr 2017,25377.94296,2090.13965,6928.58128
Mar 2017,25730.61672,2429.16664,7095.2499
Feb 2017,22091.10927,2173.72153,5828.27402
Jan 2017,20798.77101,1729.22225,5872.87835
Dec 2016,23145.52474,2421.82879,5372.95198
Nov 2016,19405.64211,2050.42166,4516.30116
Oct 2016,20335.38978,1796.01694,5451.20877
Sep 2016,16403.64017,1556.19772,3915.41865
Aug 2016,13589.32615,788.78125,3702.05462
Jul 2016,17618.35712,983.34607,5674.9113
Jun 2016,16303.4413,1308.61536,3781.5647
May 2016,18847.89867,1333.83149,5172.88725
Apr 2016,20799.30345,2343.0544,4736.84338
Mar 2016,21939.40933,1858.90338,5635.2791
Feb 2016,20138.2278,1894.18309,5120.44464
Jan 2016,18466.40151,1736.81885,4450.91844
Dec 2015,20098.37277,1837.7217,4984.23801
Nov 2015,19681.71564,2044.48967,4722.37236
Oct 2015,16380.03853,1693.87639,3660.71241
Sep 2015,13971.56651,1333.74956,3464.84232
Aug 2015,13080.02756,1003.60136,3217.83857
Jul 2015,13675.44937,789.2797,4059.35964
Jun 2015,13421.26619,904.5585,3410.8346
May 2015,17151.34131,1609.98341,4371.47879
Apr 2015,17867.14921,1605.82981,4098.79862
Mar 2015,15307.92894,1651.39224,2543.79907
Feb 2015,14921.54534,1583.01271,3267.79165
Jan 2015,15162.14633,1815.13664,3031.29897
Dec 2014,14711.24947,1440.39667,3321.82386
Nov 2014,18866.92881,1991.62376,3994.16741
Oct 2014,14507.93111,1481.05747,2981.19815
Sep 2014,11519.76842,975.82961,2319.77147
Aug 2014,10170.52076,540.68377,2550.91353
Jul 2014,12187.39242,915.66938,2770.08988
Jun 2014,15798.81712,1027.08756,4209.45101
May 2014,15601.36684,1261.49116,3518.38624
Apr 2014,18635.54917,1761.64289,3996.69153
Mar 2014,17735.8829,1734.44956,3770.53983
Feb 2014,14008.66045,1323.28215,2656.39041
Jan 2014,17911.21433,1853.54056,3915.7002
Dec 2013,13967.05881,1282.53295,2676.61031
Nov 2013,15803.25968,1754.92646,3030.06791
Oct 2013,13635.01809,1335.84981,3081.71375
Sep 2013,11674.08115,1164.6011,2005.09104
Aug 2013,9633.88368,673.12026,2129.99279
Jul 2013,11093.61355,866.40927,2397.78782
Jun 2013,13748.10576,1093.94327,3378.88595
May 2013,16238.70213,1446.1334,3963.29495
Apr 2013,17476.27429,1470.45384,3760.73968
Mar 2013,15755.65337,1421.68086,3809.68339
Feb 2013,14075.59068,1388.15576,2983.56479
Jan 2013,14738.50426,1670.59944,2656.18857
Dec 2012,14523.51758,1335.90067,3245.78383
Nov 2012,11648.4968,1415.20783,2642.80681
Oct 2012,12635.90112,1366.01606,2742.22036
Sep 2012,8789.86546,886.71099,2173.5437
Aug 2012,8469.41899,710.93039,1871.61514
Jul 2012,8823.083,642.9023,2115.44126
Jun 2012,11972.15949,1063.07391,2614.70401
May 2012,12540.32427,1316.44372,2841.37534
Apr 2012,12709.03261,1295.91583,2969.49553
Mar 2012,14027.34496,1368.15339,3340.68023
Feb 2012,11051.71417,1141.13699,2599.27343
Jan 2012,13630.85627,1490.10022,3057.23302
Dec 2011,10655.77473,1167.45704,2507.09164
Nov 2011,12438.55312,1257.27035,2832.35336
Oct 2011,10525.42896,1101.91,2671.46999
Sep 2011,6869.0293,572.33225,1693.65181
Aug 2011,7473.59402,413.96649,1954.59969
Jul 2011,7488.62905,484.01847,2085.46911
Jun 2011,10985.06912,850.40522,3357.43203
May 2011,11772.16075,1128.85524,3098.92729
Apr 2011,12421.65683,1064.61268,3066.34696
Mar 2011,10544.64605,872.09303,2688.71479
Feb 2011,10451.5619,989.00465,2528.33791
Jan 2011,8550.4948,807.2515,2063.69265
Dec 2010,9059.29736,916.53711,2594.58814
Nov 2010,9747.6191,1115.40733,2765.45485
Oct 2010,7943.80761,872.65943,1830.304
Sep 2010,7105.5022,745.31868,1588.65831
Aug 2010,6685.85505,596.44048,1658.03661
Jul 2010,6723.89118,452.43598,1863.15679
Jun 2010,8049.02142,554.80617,2562.4547
May 2010,8697.52487,770.87771,2336.90021
Apr 2010,9764.45598,907.91681,2731.3833
Mar 2010,8589.07682,850.65472,2665.65796
Feb 2010,5431.85793,649.45992,1672.16764
Jan 2010,6854.33658,737.82285,1982.64706
Dec 2009,6906.05833,726.39048,1779.58062
Nov 2009,6875.18302,760.11023,1801.64208
Oct 2009,6813.62592,663.34542,1932.63672
Sep 2009,4650.70788,327.93552,1218.43581
Aug 2009,5464.47362,491.34912,1457.78357
Jul 2009,4954.94132,361.86423,1393.97278
Jun 2009,5599.42191,439.91428,1613.31606
May 2009,6261.9611,697.11184,1519.58207
Apr 2009,7457.69602,796.10315,2028.1807
Mar 2009,7099.06292,796.6579,1905.33902
Feb 2009,5852.17501,720.20126,1719.29133
Jan 2009,5950.82465,639.53617,1656.34226
Dec 2008,6615.89854,766.38657,1890.808
Nov 2008,4993.64564,463.96149,1433.23984
Oct 2008,4756.40094,391.49578,1454.68425
Sep 2008,3111.45182,253.05116,638.24439
Aug 2008,3264.40615,160.43802,646.6283
Jul 2008,4008.40059,174.13692,1222.26794
Jun 2008,5140.3764,253.18498,1748.4909
May 2008,5340.28392,340.38113,1683.46276
Apr 2008,5225.28203,420.2379,1595.90452
Mar 2008,4782.01995,288.46294,1581.42789
Feb 2008,3851.7487,245.37677,1180.10686
Jan 2008,4273.1854,326.67335,1149.75604
Dec 2007,3490.23188,194.52246,1023.51604
Nov 2007,3095.03643,297.28586,943.82022
Oct 2007,3376.54028,243.78388,1057.41899
Sep 2007,2866.72155,222.56748,741.21413
Aug 2007,2699.36469,119.55333,867.41138
Jul 2007,2158.37244,125.18585,435.94388
Jun 2007,2620.41645,170.99161,576.6543
May 2007,2952.34063,287.56821,596.15145
Apr 2007,3171.70315,282.51608,798.36189
Mar 2007,3047.09243,279.53169,756.5592
Feb 2007,2519.79285,220.94805,711.76862
Jan 2007,2452.31464,312.22151,497.5629
Dec 2006,2471.68958,257.74613,668.08408
Nov 2006,2540.48864,181.16892,766.08585
Oct 2006,2442.12988,209.14858,668.65941
Sep 2006,1879.14378,140.94182,500.81219
Aug 2006,1655.18688,93.49149,358.14384
Jul 2006,1955.06423,113.23772,472.04107
Jun 2006,2051.76563,132.15569,487.89653
May 2006,2458.6826,239.31352,631.81998
Apr 2006,2471.76225,251.08367,604.82686
Mar 2006,2358.63174,251.41966,552.25438
Feb 2006,1921.95844,204.1476,425.14907
Jan 2006,2382.63335,243.9662,534.74175
Dec 2005,1827.81389,163.12484,541.11881
Nov 2005,1609.69148,225.72959,324.76203
Oct 2005,1446.18982,154.28681,348.4446
Sep 2005,1468.34696,147.86308,314.75764
Aug 2005,1138.03152,65.50515,261.20469
Jul 2005,1420.94183,90.23656,308.86399
Jun 2005,1796.92435,122.45875,450.6885
May 2005,1746.42955,173.81567,384.81184
Apr 2005,1697.5037,156.40987,432.16157
Mar 2005,1560.62565,155.68987,349.82932
Feb 2005,966.48178,110.96413,208.75962
Jan 2005,1131.5685,81.04969,311.80639
Dec 2004,1172.00867,106.95726,313.05222
Nov 2004,932.203,75.64318,238.35582
Oct 2004,1028.87272,82.19094,212.44205
Sep 2004,1089.61523,86.23831,209.18994
Aug 2004,1050.71885,52.04401,160.46337
