dir,speed,prob
280,1.1,7.11E-06
260,1.4,7.11E-06
290,1.9,7.11E-06
290,2,7.11E-06
270,1.2,7.11E-06
240,0.7,7.11E-06
200,0.8,7.11E-06
170,0.9,7.11E-06
170,0.7,7.11E-06
190,0.8,7.11E-06
230,0.7,7.11E-06
270,1.4,7.11E-06
290,2.4,7.11E-06
280,1.3,7.11E-06
290,1.8,7.11E-06
290,2.8,7.11E-06
280,2.3,7.11E-06
260,1.9,7.11E-06
270,1.5,7.11E-06
260,1.4,7.11E-06
260,0.9,7.11E-06
280,1.4,7.11E-06
290,1.6,7.11E-06
300,1.4,7.11E-06
300,1.7,7.11E-06
300,1.6,7.11E-06
290,1.5,7.11E-06
310,2.1,7.11E-06
300,1.8,7.11E-06
300,1.9,7.11E-06
310,1.8,7.11E-06
320,2.1,7.11E-06
330,1.7,7.11E-06
330,1.8,7.11E-06
340,2.1,7.11E-06
10,1.1,7.11E-06
350,2,7.11E-06
0,1.6,7.11E-06
0,1.9,7.11E-06
0,1.6,7.11E-06
10,1.8,7.11E-06
20,2.3,7.11E-06
20,2.5,7.11E-06
40,3,7.11E-06
30,3.2,7.11E-06
30,2.9,7.11E-06
30,2.9,7.11E-06
30,2.8,7.11E-06
20,3.2,7.11E-06
10,3.5,7.11E-06
10,3.1,7.11E-06
10,3.4,7.11E-06
10,3.4,7.11E-06
0,3.6,7.11E-06
0,4.1,7.11E-06
0,4,7.11E-06
0,4.5,7.11E-06
0,4.3,7.11E-06
10,4.3,7.11E-06
0,4.8,7.11E-06
10,4.5,7.11E-06
10,4.5,7.11E-06
10,4.8,7.11E-06
10,4.7,7.11E-06
10,4.5,7.11E-06
10,4.2,7.11E-06
20,4.1,7.11E-06
20,4.8,7.11E-06
10,5.7,7.11E-06
20,6.2,7.11E-06
20,6.5,7.11E-06
10,7,7.11E-06
20,6.8,7.11E-06
20,7.1,7.11E-06
20,7.1,7.11E-06
20,6.7,7.11E-06
20,6.5,7.11E-06
20,6.8,7.11E-06
20,6.9,7.11E-06
20,7,7.11E-06
20,7.2,7.11E-06
20,7.1,7.11E-06
30,7.2,7.11E-06
20,7.4,7.11E-06
20,7.2,7.11E-06
30,7.2,7.11E-06
20,7,7.11E-06
20,7.1,7.11E-06
20,7.1,7.11E-06
30,7.2,7.11E-06
30,7.4,7.11E-06
30,7.3,7.11E-06
40,7.6,7.11E-06
30,7.9,7.11E-06
30,7.9,7.11E-06
30,8,7.11E-06
30,7.8,7.11E-06
30,7.7,7.11E-06
30,7.7,7.11E-06
30,7.9,7.11E-06
30,8.1,7.11E-06
30,8.3,7.11E-06
30,8,7.11E-06
40,7.9,7.11E-06
30,8.1,7.11E-06
30,8,7.11E-06
30,7.9,7.11E-06
30,8.2,7.11E-06
30,8.4,7.11E-06
40,8.3,7.11E-06
30,8.2,7.11E-06
30,7.9,7.11E-06
30,8.1,7.11E-06
30,7.8,7.11E-06
30,7.9,7.11E-06
30,8.1,7.11E-06
30,7.9,7.11E-06
30,8.2,7.11E-06
30,8.2,7.11E-06
30,7.5,7.11E-06
40,7.5,7.11E-06
40,7.5,7.11E-06
30,7.1,7.11E-06
30,7.1,7.11E-06
30,6.6,7.11E-06
30,6.6,7.11E-06
30,6.8,7.11E-06
30,6.3,7.11E-06
